registerNum,country1,durationDays,peopleDead,peopleDisplaced,mainCause1,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,year,HDI,lifeExp,yearsSchool,GNIPerCapita
782,United States,7,0,2500,Heavy Rain,extreme,31766.69,5.648100001,-94.6207,36.764,Americas,Northern America,1993,0.915,79.1,16.5,52947
781,France,17,17,1700,Heavy Rain,extreme,51313.99,6.241714702,7.36304,45.1072,Europe,Western Europe,1993,0.888,82.2,16,38056
780,Nicaragua,7,50,38600,Heavy Rain,large,59969.85,5.623031003,-84.0491,12.4551,Americas,Central America,1993,0.631,74.9,11.5,4457
779,Australia,1,0,800,Heavy Rain,large,31808.05,4.502537045,146.36,-38.1255,Oceania,Australia and New Zealand,1993,0.935,82.4,20.2,42261
778,India,9,232,4590,Heavy Rain,large,65928.48,5.773315573,78.9675,27.9917,Asia,Southern Asia,1993,0.609,68,11.7,5497
777,Japan,3,35,5000,Heavy Rain,large,882.229,3.422702584,130.452,31.5053,Asia,Eastern Asia,1993,0.891,83.5,15.3,36927
776,China,1,242,3000,Dam Failure,large,6844.66,3.83535188,100.265,36.1271,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
775,China,12,152,21000,Heavy Rain,large,77049.91,5.965953382,101.704,24.4756,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
774,Japan,2,2,3000,Heavy Rain,large,2420.58,3.684949436,139.686,35.6512,Asia,Eastern Asia,1993,0.891,83.5,15.3,36927
773,Mexico,3,0,3000,Hurricane/Tropical Storm,large,22339.48,4.826194314,-95.2258,18.0128,Americas,Central America,1993,0.756,76.8,13.1,16056
772,United States,2,0,0,Heavy Rain,extreme,579.318,3.364977014,-99.7646,41.6111,Americas,Northern America,1993,0.915,79.1,16.5,52947
144,South Korea,9,330,35900,Heavy Rain,large,9041.57,4.910486358,126.932,36.4164,Asia,Eastern Asia,1987,0.898,81.9,16.9,"33,890"
770,Philippines,4,5,10000,Heavy Rain,large,7160.8,4.457021535,120.432,15.1818,Asia,South-Eastern Asia,1993,0.668,68.2,11.3,7915
769,Sudan,6,6,300,Heavy Rain,large,30815.18,5.266915959,31.8434,12.4132,Africa,Northern Africa,1993,0.479,63.5,7,3809
768,Peru,1,0,300000,Heavy Rain,large,134855.86,5.129869823,-73.5893,-4.86699,Americas,South America,1993,0.734,74.6,13.1,11015
767,China,20,101,2577000,Heavy Rain,large,112505.67,6.352204406,115.918,36.4802,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
766,Venezuela,6,90,47800,Hurricane/Tropical Storm,large,75801.79,5.657830712,-65.9923,9.71614,Americas,South America,1993,0.762,74.2,14.2,16159
765,Belarus,19,6,42000,Heavy Rain,large,85364.07,6.210028714,27.5231,52.3665,Europe,Eastern Europe,1993,0.798,71.3,15.7,16676
764,Japan,11,73,5000,Heavy Rain,large,20754.86,5.358512493,131.074,32.2114,Asia,Eastern Asia,1993,0.891,83.5,15.3,36927
762,China,6,41,7000,Heavy Rain,large,9596.62,4.760269549,103.653,29.7518,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
761,China,21,72,200000,Heavy Rain,extreme,56895.9,6.378330262,121.602,43.9301,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
760,Ethiopia,11,0,120000,Heavy Rain,large,180415.06,6.297665472,39.3187,5.07375,Africa,Eastern Africa,1993,0.442,64.1,8.5,1428
759,China,29,367,1003000,Heavy Rain,large,118961.75,6.537805342,110.652,28.8981,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
758,France,1,2,100,Heavy Rain,large,2738.14,3.43745565,4.60164,45.7497,Europe,Western Europe,1993,0.888,82.2,16,38056
757,India,37,3083,9370926,Monsoon,extreme,531506.66,7.594740431,89.7567,25.1622,Asia,Southern Asia,1993,0.609,68,11.7,5497
756,Mexico,3,28,30000,Heavy Rain,large,147720.82,5.646562964,-99.7422,17.9374,Americas,Central America,1993,0.756,76.8,13.1,16056
755,Philippines,3,5,22700,Monsoon,large,19660.56,4.770717139,120.46,15.6003,Asia,South-Eastern Asia,1993,0.668,68.2,11.3,7915
754,United States,61,48,31000,Heavy Rain,extreme,444971.26,7.734691792,-92.4812,40.3582,Americas,Northern America,1993,0.915,79.1,16.5,52947
752,United States,3,9,12000,Heavy Rain,large,168818.57,5.704541472,-88.8702,19.839,Americas,Northern America,1993,0.915,79.1,16.5,52947
751,China,24,132,375000,Heavy Rain,large,432773.2,7.0164716,117.867,27.9846,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
749,United Kingdom,3,8,2500,Heavy Rain,extreme,4408.82,4.422473619,-6.32855,53.6271,Europe,Northern Europe,1993,0.907,80.7,16.2,39267
748,China,37,180,17150000,Heavy Rain,large,444778.53,7.216345539,115.409,24.6177,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
747,India,19,238,950000,Monsoon,large,259045.68,6.692129955,92.0974,24.9382,Asia,Southern Asia,1993,0.609,68,11.7,5497
745,Haiti,3,20,40000,Heavy Rain,large,73170.21,5.341455556,-76.531,20.9476,Americas,Caribbean,1993,0.483,62.8,8.7,1669
744,Sri Lanka,11,8,100000,Monsoon,large,13958.06,5.186217746,80.3212,6.78433,Asia,Southern Asia,1993,0.757,74.9,13.7,9779
741,Jamaica,14,8,1600,Heavy Rain,large,3211.86,4.652884642,-77.3418,18.0135,Americas,Caribbean,1993,0.719,75.7,12.4,7415
740,Argentina,5,0,0,Heavy Rain,large,247102.08,6.091846405,-60.1886,-36.263,Americas,South America,1993,0.836,76.3,17.9,22050
739,Tajikistan,2,0,9000,Heavy Rain,large,20198.33,4.606345459,69.1791,37.9808,Asia,Central Asia,1993,0.624,69.4,11.2,2517
738,China,7,65,3000,Heavy Rain,large,72612.48,5.70610931,113.536,23.4747,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
737,Chile,1,21,1225,Heavy Rain,large,1261.76,3.100976755,-71.6121,-33.3854,Americas,South America,1993,0.832,81.7,15.2,21290
736,Colombia,6,55,2000,Heavy Rain,large,3592.47,4.3335444,-75.2217,5.30433,Americas,South America,1993,0.72,74,13.5,12040
735,Ecuador,1,77,25000,Heavy Rain,large,2470.84,3.392844623,-78.9145,-2.88189,Americas,South America,1993,0.732,75.9,14.2,10605
733,United States,6,2,1500,Snow/Ice Melt,large,25231.12,5.180087779,-97.6983,41.7158,Americas,Northern America,1993,0.915,79.1,16.5,52947
732,United States,12,1,1600,Heavy Rain,large,7406.56,4.948797791,-113.753,32.8796,Americas,Northern America,1993,0.915,79.1,16.5,52947
730,Yemen,6,31,2500,Heavy Rain,large,61492.38,5.566972553,45.822,13.9406,Asia,Western Asia,1993,0.498,63.8,9.2,3519
729,Indonesia,5,54,259000,Monsoon,large,19196.74,4.982197487,111.256,-6.80799,Asia,South-Eastern Asia,1993,0.684,68.9,13,9788
728,Philippines,5,23,90000,Monsoon,large,23141.36,5.063358883,125.706,8.79448,Asia,South-Eastern Asia,1993,0.668,68.2,11.3,7915
726,United States,2,0,200,Heavy Rain,extreme,42375.04,5.229170112,-90.7209,29.9467,Americas,Northern America,1993,0.915,79.1,16.5,52947
725,United Kingdom,4,0,500,Snow/Ice Melt,large,2044.83,3.912717199,-3.70463,56.3141,Europe,Northern Europe,1993,0.907,80.7,16.2,39267
724,Mexico,15,36,11215,Heavy Rain,large,24073.8,5.557635907,-116.876,33.0191,Americas,Central America,1993,0.756,76.8,13.1,16056
723,Colombia,1,16,0,Heavy Rain,large,26875.51,4.429356714,-76.3694,7.62904,Americas,South America,1993,0.72,74,13.5,12040
721,Fiji,3,21,10000,Hurricane/Tropical Storm,large,9803.68,4.468510382,178.001,-17.8368,Oceania,Melanesia,1993,0.727,70,15.7,7493
