registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,region_code,sub_region_code,year,GDPmil,GDPrank,Income Group OECD
4231,Indonesia,,3/15/15 0:00,3/23/15 0:00,9,0,4000,,Heavy Rain,,,large,7001.53,4.799435463,108.399,-6.55868,Asia,South-Eastern Asia,142,35,2015,888538,16,Lower middle income
4230,United States,,3/10/15 0:00,3/23/15 0:00,14,0,0,,Heavy Rain,,,very large,56870.12,6.077103439,-86.2332,37.0268,Americas,Northern America,19,21,2015,17419000,1,High income: OECD
4229,Mexico,,3/13/15 0:00,3/23/15 0:00,11,0,800,,Heavy Rain,,,large,60978.86,5.826571986,-103.43,19.4811,Americas,Central America,19,13,2015,1294690,15,Upper middle income
4228,Argentina,,2/15/15 0:00,2/24/15 0:00,10,7,700,,Heavy Rain,,,very large,349365.45,6.719371213,-63.5929,-32.3809,Americas,South America,19,5,2015,537660,24,High income: nonOECD
4227,Dominican Republic,,2/20/15 0:00,2/24/15 0:00,5,0,12000,,Heavy Rain,,,large,11588.13,4.762983363,-69.8035,19.3285,Americas,Caribbean,19,29,2015,64138,73,Upper middle income
4226,Australia,,2/22/15 0:00,2/24/15 0:00,3,0,350,,Hurricane/Tropical Storm,,,very large,445272.72,6.301838602,135.716,-18.2,Oceania,Australia and New Zealand,9,53,2015,1454675,12,High income: OECD
4225,Bolivia,Peru,2/20/15 0:00,2/24/15 0:00,5,0,4000,,Monsoon,,,very large,487370.75,6.562920724,-65.8445,-11.5042,Americas,South America,19,5,2015,32996,98,Lower middle income
4224,Madagascar,,1/5/15 0:00,2/9/15 0:00,36,0,20000,,Hurricane/Tropical Storm,,,very large,277594.75,7.175805008,45.9218,-19.6675,Africa,Eastern Africa,2,14,2015,10593,138,Low income
4223,Australia,,2/5/15 0:00,2/9/15 0:00,5,0,0,,Monsoon,,,very large,122203.01,5.962143167,145.675,-17.8703,Oceania,Australia and New Zealand,9,53,2015,1454675,12,High income: OECD
4222,Indonesia,,2/5/15 0:00,2/9/15 0:00,5,0,300,,Heavy Rain,,,large,18063.44,4.955770465,122.862,0.686073,Asia,South-Eastern Asia,142,35,2015,888538,16,Lower middle income
